config,rpm,AoA,CL,CLvar
base,250.0,1.0,0.3861559573930422,3.1794139170992324e-05
base,250.0,2.0,0.44961677948630085,3.272546892132953e-05
base,250.0,3.0,0.5128462031790929,4.0248968306339074e-05
base,250.0,4.0,0.5751751719901507,3.5473771848315396e-05
base,250.0,5.0,0.6476961316365428,2.968437351403181e-05
base,250.0,6.0,0.7141354710821027,2.9620130315967708e-05
base,250.0,7.0,0.779839681615432,2.6040394965202506e-05
base,250.0,8.0,0.842030961795835,2.8691587317145987e-05
base,250.0,9.0,0.8992693576406274,3.399749893998914e-05
base,250.0,10.0,0.9488176579944354,3.853746670134073e-05
base,250.0,11.0,0.9929442686324538,3.8012941542415426e-05
base,250.0,12.0,1.0286160914675688,4.137264212926645e-05
base,250.0,13.0,1.0587779386692806,4.171267314079038e-05
base,250.0,14.0,0.9236617233524381,0.026679375596261577
base,250.0,15.0,0.9123378218596326,0.033497272279379445
base,250.0,16.0,0.9041246312317375,0.0318091764710811
base,250.0,17.0,0.7288090414477557,0.0005782894919635248
base,250.0,18.0,0.7189012665919423,0.0006177755873700349
base,250.0,19.0,0.6679165580566107,0.0005212686583021096
base,250.0,20.0,0.6661279823799048,0.0003985141339258944
base,300.0,-5.0,-0.03383940483298661,6.144046192885313e-06
base,300.0,-4.0,0.04986231918098851,1.4133287571153393e-05
base,300.0,-3.0,0.11736886820959495,3.919190193758326e-06
base,300.0,-2.0,0.18394842765379346,2.986292096283182e-06
base,300.0,-1.0,0.2536236267812322,2.977799816207231e-06
base,300.0,0.0,0.3267163966508265,3.014318613875939e-06
base,300.0,1.0,0.39891103286134294,1.9302358242327745e-06
base,300.0,2.0,0.46729948813313305,6.5158347730252e-06
base,300.0,3.0,0.5361596559903646,7.456517927039307e-06
base,300.0,4.0,0.6028676459509564,5.49717203410991e-06
base,300.0,5.0,0.6769685722450195,5.502007736505218e-06
base,300.0,6.0,0.7467012878893909,5.551274346508989e-06
base,300.0,7.0,0.8145110357643565,7.147727298128152e-06
base,300.0,8.0,0.879091621941961,9.304230310046366e-06
base,300.0,9.0,0.9394796938645464,2.094164994145519e-06
base,300.0,10.0,0.9883705419291935,2.669144712158207e-06
base,300.0,11.0,1.0338868814357427,7.619084597147853e-06
base,300.0,12.0,1.0699396900693552,7.137820987676546e-06
base,300.0,13.0,1.0967481454025698,6.581323799169849e-06
base,300.0,14.0,0.9801741030826572,0.018669198638073824
base,300.0,15.0,0.9364871078157382,0.030008660845695156
base,300.0,16.0,0.8835235181889538,0.02754018953653748
base,300.0,17.0,0.7525705904531055,0.0010796630724735261
base,300.0,18.0,0.7403785816863673,0.0009863020346178534
base,300.0,19.0,0.7294106470087137,0.0007851302252318926
base,300.0,20.0,0.7164486779347222,0.001141444559625934
f9_v0,200.0,-5.0,-0.22500084314431235,5.7545355851117716e-05
f9_v0,200.0,-4.0,-0.16459484547304915,2.759524879527581e-05
f9_v0,200.0,-3.0,-0.10596904408189635,2.121035013268987e-05
f9_v0,200.0,-2.0,-0.04334289682942978,2.091270758334443e-05
f9_v0,200.0,-1.0,0.022085020520284864,2.4572355718445064e-05
f9_v0,200.0,0.0,0.08603902591153259,2.039513731662445e-05
f9_v0,200.0,1.0,0.155711578073198,1.938438438963485e-05
f9_v0,200.0,2.0,0.2248281932149681,2.4606250621150373e-05
f9_v0,200.0,3.0,0.2966748245842762,3.8569897349964324e-05
f9_v0,200.0,4.0,0.36809175256292476,2.997437430166148e-05
f9_v0,200.0,5.0,0.44764280462676065,3.3904676057591026e-05
f9_v0,200.0,6.0,0.5213847657291598,4.272997235921711e-05
f9_v0,200.0,7.0,0.5905694845711242,4.850320290844532e-05
f9_v0,200.0,8.0,0.6535724439806355,5.6791076396697425e-05
f9_v0,200.0,9.0,0.7093720796919775,3.3014536605931354e-05
f9_v0,200.0,10.0,0.7592255611170524,4.580393741585439e-05
f9_v0,200.0,11.0,0.8101653664070102,2.8728865622863434e-05
f9_v0,200.0,12.0,0.7890498336755917,0.005664264089275253
f9_v0,200.0,13.0,0.8075146175887986,0.009027309607934375
f9_v0,200.0,14.0,0.793031621767539,0.01904004361318647
f9_v0,200.0,15.0,0.6730435176868856,0.0024558463220521894
f9_v0,200.0,16.0,0.6702071472567025,0.0005469898162403448
f9_v0,200.0,17.0,0.6773639443983176,0.000782833626025823
f9_v0,200.0,18.0,0.6803221722870874,0.0007266409049714597
