config,rpm,AoA,LD,LDvar
f9_v0,250.0,-1.0,0.03573552756919535,0.008550107524667195
f9_v0,250.0,0.0,0.8863585251941772,0.017034822095837295
f9_v0,250.0,1.0,1.7185823526696533,0.039269071860424776
f9_v0,250.0,2.0,2.56081816719889,0.0719464517162679
f9_v0,250.0,3.0,3.310012056691653,0.10706054373711273
f9_v0,250.0,4.0,3.980718301877048,0.13488598640965296
f9_v0,250.0,5.0,4.612752662275477,0.15082737496781745
f9_v0,250.0,6.0,5.023834096793095,0.15589384956797062
f9_v0,250.0,7.0,5.3736814149665735,0.13867006143098382
f9_v0,250.0,8.0,5.59353250516832,0.1245851964553902
f9_v0,250.0,9.0,5.741055149289908,0.09097302601901965
f9_v0,250.0,10.0,5.7836668648759035,0.08861327208553879
f9_v0,250.0,11.0,5.757348742599009,0.06525280453469394
f9_v0,250.0,12.0,5.693253498729555,0.05421403707641872
f9_v0,250.0,13.0,4.685330577731361,1.1982373869675296
f9_v0,250.0,14.0,4.2610199774505055,1.9982353497166792
f9_v0,250.0,15.0,4.051634363901974,1.9576617412790254
f9_v0,250.0,16.0,2.963036665651512,0.23771972441975772
f9_v0,250.0,17.0,2.3589000824503965,0.009882341449669901
f9_v0,250.0,18.0,2.2143449230561436,0.006144984055395729
f9_v0,250.0,19.0,2.093422064237539,0.003950184343442456
f9_v0,250.0,20.0,1.9851257503986914,0.002261673761934165
f9_v0,300.0,-5.0,-3.363466409385598,0.02559149765857506
f9_v0,300.0,-4.0,-2.5037732893965927,0.013916655191092468
f9_v0,300.0,-3.0,-1.835734114642431,0.00957860912098299
f9_v0,300.0,-2.0,-1.0267960291330331,0.012190925231618011
f9_v0,300.0,-1.0,-0.1520555257193708,0.021298307449666473
f9_v0,300.0,0.0,0.8086897360326345,0.030595352963975822
f9_v0,300.0,1.0,1.803907510105412,0.04796537132961937
f9_v0,300.0,2.0,2.662630864689657,0.06550533712185881
f9_v0,300.0,3.0,3.3945652155272454,0.07525734151052522
f9_v0,300.0,4.0,3.940169503439661,0.07413146824418543
f9_v0,300.0,5.0,4.5549941951264135,0.07757006738629531
f9_v0,300.0,6.0,4.912019365520845,0.07444525934407674
f9_v0,300.0,7.0,5.297964067453232,0.06990974109007951
f9_v0,300.0,8.0,5.5243141601012224,0.06148412067435047
f9_v0,300.0,9.0,5.762061848446636,0.05787663931008717
f9_v0,300.0,10.0,5.856726999128412,0.050172872652903426
f9_v0,300.0,11.0,5.855171630414793,0.03704203579731684
f9_v0,300.0,12.0,5.758405420454925,0.0311448696635162
f9_v0,300.0,13.0,5.652190537557866,0.028433872180640623
f9_v0,300.0,14.0,4.699319532503228,0.8631724811289513
f9_v0,300.0,15.0,4.51976168050883,0.8382391695462945
f9_v0,300.0,16.0,3.7105256932384023,0.616117708133058
f9_v0,300.0,17.0,2.4788609001596402,0.03319777232524096
f9_v0,300.0,18.0,2.2298581725338713,0.0048743647372197305
f9_v0,300.0,19.0,2.1253372017156718,0.003895561196463362
f9_v0,300.0,20.0,2.0373188718555935,0.0024334483025046046
f9_v15,300.0,-5.0,-2.6479519065888386,0.04104724964833607
f9_v15,300.0,-4.0,-2.0646498059984495,0.031141093129599985
f9_v15,300.0,-3.0,-1.4944250904721637,0.022411530178579425
f9_v15,300.0,-2.0,-0.723232405590512,0.02215394467102642
f9_v15,300.0,-1.0,0.1469054088612933,0.034518372201783
f9_v15,300.0,0.0,1.0668391772520882,0.057819468813689684
f9_v15,300.0,1.0,1.9841611391019696,0.11298586095057053
f9_v15,300.0,2.0,2.8016228623848614,0.12314754219202828
f9_v15,300.0,3.0,3.493436823531334,0.16641775704376227
f9_v15,300.0,4.0,4.1337557357399275,0.20235076986588624
f9_v15,300.0,5.0,4.776581509129712,0.2161716000432372
f9_v15,300.0,6.0,5.312629572254799,0.2029015357834424
f9_v15,300.0,7.0,5.736077714231252,0.1979718653476773
f9_v15,300.0,8.0,6.110642437745182,0.17265139106306032
f9_v15,300.0,9.0,6.3603700601136275,0.11230455116857634
