config,rpm,AoA,CD,CDvar
f9_v0,250.0,8.0,0.11222085022496951,2.9153127345070758e-05
f9_v0,250.0,9.0,0.11892395016951196,2.434094991588631e-05
f9_v0,250.0,10.0,0.12636359925355464,2.6152191506979386e-05
f9_v0,250.0,11.0,0.1350769165921381,2.277496847610004e-05
f9_v0,250.0,12.0,0.14458768981548867,2.1832699328481575e-05
f9_v0,250.0,13.0,0.17503178084281543,0.0005742945739789215
f9_v0,250.0,14.0,0.1967725685145696,0.0012604603380543021
f9_v0,250.0,15.0,0.21010059618501148,0.0013373787459925357
f9_v0,250.0,16.0,0.24796299802952593,0.00037963349612221616
f9_v0,250.0,17.0,0.282406001313264,0.00011248686127479735
f9_v0,250.0,18.0,0.29870399187972146,0.0001034339808589679
f9_v0,250.0,19.0,0.3118131294785616,7.99720358117587e-05
f9_v0,250.0,20.0,0.3234153192408899,7.648599993236705e-05
f9_v0,300.0,-5.0,0.07639854677153836,1.9570132723994115e-05
f9_v0,300.0,-4.0,0.07570390780069891,1.753560281835816e-05
f9_v0,300.0,-3.0,0.07173312688104422,1.554286191717661e-05
f9_v0,300.0,-2.0,0.06842574321302825,1.5220334135346316e-05
f9_v0,300.0,-1.0,0.06768984714471028,1.3288041963189819e-05
f9_v0,300.0,0.0,0.06889048848170441,1.4346614856073842e-05
f9_v0,300.0,1.0,0.07058410496277985,1.3449829480494429e-05
f9_v0,300.0,2.0,0.07310920562759184,1.3384887674691615e-05
f9_v0,300.0,3.0,0.07701635132421344,1.3225806947270807e-05
f9_v0,300.0,4.0,0.08178458431255135,1.343018706771098e-05
f9_v0,300.0,5.0,0.08573856612043072,1.30663610575463e-05
f9_v0,300.0,6.0,0.09136248790230947,1.3197451315213961e-05
f9_v0,300.0,7.0,0.09624138328264344,1.3523647756922093e-05
f9_v0,300.0,8.0,0.10210814386268738,1.279646636708839e-05
f9_v0,300.0,9.0,0.10778273553470112,1.247019221037566e-05
f9_v0,300.0,10.0,0.1147831123939878,1.2109369016389506e-05
f9_v0,300.0,11.0,0.1222061800978142,1.3200389161707417e-05
f9_v0,300.0,12.0,0.13097935309113817,1.3016442314193158e-05
f9_v0,300.0,13.0,0.14088992652023002,1.3047782288228102e-05
f9_v0,300.0,14.0,0.1691510545735139,0.00030613181564357196
