config,rpm,AoA,Cm,Cmvar
base,250.0,19.0,-0.11040335678967038,7.158256896152907e-05
base,250.0,20.0,-0.11118361898465305,6.281845616676412e-05
base,300.0,-5.0,-0.09438588985918946,1.7500167413435583e-06
base,300.0,-4.0,-0.09553850602359422,3.250888598260741e-06
base,300.0,-3.0,-0.09243836300560596,1.144935097177519e-06
base,300.0,-2.0,-0.08902022421057161,7.125815249935693e-07
base,300.0,-1.0,-0.08675683286621899,6.276844381902959e-07
base,300.0,0.0,-0.08560708560446965,7.932969158253613e-07
base,300.0,1.0,-0.08336597086867875,6.10417948721028e-07
base,300.0,2.0,-0.08075080511470548,6.89647089069893e-07
base,300.0,3.0,-0.0780127455537389,6.916258957744238e-07
base,300.0,4.0,-0.07503540251704437,6.28239995550707e-07
base,300.0,5.0,-0.07267249026917337,5.959563005915677e-07
base,300.0,6.0,-0.07138717656017561,4.648434511288366e-07
base,300.0,7.0,-0.07006369272534695,4.29363895478703e-07
base,300.0,8.0,-0.06834104213024496,4.4651967581855786e-07
base,300.0,9.0,-0.0660225205478315,4.3537861436728675e-07
base,300.0,10.0,-0.06321201659727277,3.9846139769722275e-07
base,300.0,11.0,-0.05962171149904057,5.323221403529943e-07
base,300.0,12.0,-0.05588639488868002,5.466224657573948e-07
base,300.0,13.0,-0.05218300767671413,7.654062128735286e-07
base,300.0,14.0,-0.07536668420314506,0.0007338618032789077
base,300.0,15.0,-0.08304650611175667,0.0010107924485656032
base,300.0,16.0,-0.09452535511582791,0.0009254545194545224
base,300.0,17.0,-0.11671733172842048,7.769859332859052e-05
base,300.0,18.0,-0.11541129178399935,7.215405092646426e-05
base,300.0,19.0,-0.11583966658598245,6.672119977633949e-05
base,300.0,20.0,-0.1175956401736199,6.91466527261239e-05
f9_v0,200.0,-5.0,0.0046281350956453885,5.42442291378864e-05
f9_v0,200.0,-4.0,0.0029373208243521944,3.7963239624531835e-05
f9_v0,200.0,-3.0,-0.0025315218145529257,3.313567857977617e-05
f9_v0,200.0,-2.0,-0.007100384705040482,3.173483082765193e-05
f9_v0,200.0,-1.0,-0.01207743588557494,2.820179869758868e-05
